id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001007002006005,Saint-Jeoire,,Commune,Chef-lieu canton,FRA.1.7.2.6.5_1,
FRA001007002006006,Ville-en-Sallaz,,Commune,Commune simple,FRA.1.7.2.6.6_1,
FRA001007002006007,Viuz-en-Sallaz,,Commune,Commune simple,FRA.1.7.2.6.7_1,
FRA001007002007001,Combloux,,Commune,Commune simple,FRA.1.7.2.7.1_1,
FRA001007002007002,Cordon,,Commune,Commune simple,FRA.1.7.2.7.2_1,
FRA001007002007003,Demi-Quartier,,Commune,Commune simple,FRA.1.7.2.7.3_1,
FRA001007002007004,Domancy,,Commune,Commune simple,FRA.1.7.2.7.4_1,
FRA001007002007005,Megève,,Commune,Commune simple,FRA.1.7.2.7.5_1,
FRA001007002007006,Praz-sur-Arly,,Commune,Commune simple,FRA.1.7.2.7.6_1,
FRA001007002007007,Sallanches,,Commune,Chef-lieu canton,FRA.1.7.2.7.7_1,
FRA001007002008001,Morillon,,Commune,Commune simple,FRA.1.7.2.8.1_1,
FRA001007002008002,Samoëns,,Commune,Chef-lieu canton,FRA.1.7.2.8.2_1,
FRA001007002008003,Sixt-Fer-à-Cheval,,Commune,Commune simple,FRA.1.7.2.8.3_1,
FRA001007002008004,Verchaix,,Commune,Commune simple,FRA.1.7.2.8.4_1,
FRA001007002009001,Le Reposoir,,Commune,Commune simple,FRA.1.7.2.9.1_1,
FRA001007002009002,Marnaz,,Commune,Commune simple,FRA.1.7.2.9.2_1,
FRA001007002009003,Nancy-sur-Cluses,,Commune,Commune simple,FRA.1.7.2.9.3_1,
FRA001007002009004,Scionzier,,Commune,Chef-lieu canton,FRA.1.7.2.9.4_1,
FRA001007002010001,La Côte-d'Arbroz,,Commune,Commune simple,FRA.1.7.2.10.1_1,
FRA001007002010002,La Rivière-Enverse,,Commune,Commune simple,FRA.1.7.2.10.2_1,
FRA001007002010003,Les Gets,,Commune,Commune simple,FRA.1.7.2.10.3_1,
FRA001007002010004,Mieussy,,Commune,Commune simple,FRA.1.7.2.10.4_1,
FRA001007002010005,Taninges,,Commune,Chef-lieu canton,FRA.1.7.2.10.5_1,
FRA001007004001001,Ambilly,,Commune,Commune simple,FRA.1.7.4.1.1_1,
FRA001007004001002,Cranves-Sales,,Commune,Commune simple,FRA.1.7.4.1.2_1,
