admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,CF2213,Herman-Brousse,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Bingué,CF2233,Bingue,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Gamboula,CF212,Basse-Boumné,CF2121,Basse-Boumne,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Ouakanga,CF2113,Ouakanga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,Basse-Kadei,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,Haute-Boumbe,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Baboua,CF2231,Baboua,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Bambari,CF4311,Bambari,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,Haute-Kade,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,Abba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Goudrot,CF2232,Goudrot,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Béa-Nana,CF2216,Bea-Nana,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Moboma,CF1217,Moboma,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Kaga-Bandoro,CF4211,Kaga-Bandoro,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Paoua,CF314,Paoua,CF3141,Paoua,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Yaloké,CF116,Guézéli,CF1162,Gueli,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Kouango,CF434,Kouango,CF4341,Kouango,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Haute-Batouri,CF2112,Haute-Batouri,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Grimari,CF4331,Grimari,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Guiffa,CF4123,Guiffa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Paoua,CF314,Banh,CF3148,Banh,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,Ouambe,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Arrondissement 3,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Arrondissement 4,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Arrondissement 5,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Arrondissement 6,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Arrondissement 7,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Arrondissement 8,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Arrondissement 1,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Arrondissement 2,,,2014-08-02,2015-06-15,
